id,author,sha,last_modified,created_at,private,gated,disabled,downloads,likes,library_name,tags,pipeline_tag,mask_token,card_data,widget_data,model_index,config,transformers_info,siblings,spaces,safetensors,lastModified,cardData,transformersInfo,_id,modelId,download_size
liuhaotian/llava-v1.5-7b,liuhaotian,4481d270cc22fd5c4d1bb5df129622006ccd9234,2024-05-08 22:15:49+00:00,2023-10-05 18:25:51+00:00,False,False,,586895,266,transformers,"['transformers', 'pytorch', 'llava', 'text-generation', 'image-text-to-text', 'autotrain_compatible', 'region:us']",image-text-to-text,,,,,,,"[RepoSibling(rfilename='.gitattributes', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='README.md', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='generation_config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='mm_projector.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='pytorch_model-00001-of-00002.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='pytorch_model-00002-of-00002.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='pytorch_model.bin.index.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='special_tokens_map.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='tokenizer.model', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='tokenizer_config.json', size=None, blob_id=None, lfs=None)]",,,2024-05-08 22:15:49+00:00,,,651effaf6d11340cd321f94b,liuhaotian/llava-v1.5-7b,13561401157
01-ai/Yi-VL-34B,01-ai,79fd1a5a06f72295ef84e6ef4f73e77791950ba0,2024-03-11 08:40:06+00:00,2023-12-25 03:26:32+00:00,False,False,,2407,231,pytorch,"['pytorch', 'llava', 'image-text-to-text', 'arxiv:2403.04652', 'license:other', 'has_space', 'region:us']",image-text-to-text,,,,,,,"[RepoSibling(rfilename='.gitattributes', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='LICENSE', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='README.md', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='added_tokens.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='generation_config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='pytorch_model-00001-of-00008.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='pytorch_model-00002-of-00008.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='pytorch_model-00003-of-00008.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='pytorch_model-00004-of-00008.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='pytorch_model-00005-of-00008.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='pytorch_model-00006-of-00008.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='pytorch_model-00007-of-00008.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='pytorch_model-00008-of-00008.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='pytorch_model.bin.index.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='special_tokens_map.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='tokenizer.model', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='tokenizer_config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='vit/clip-vit-H-14-laion2B-s32B-b79K-yi-vl-34B-448/.gitattributes', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='vit/clip-vit-H-14-laion2B-s32B-b79K-yi-vl-34B-448/README.md', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='vit/clip-vit-H-14-laion2B-s32B-b79K-yi-vl-34B-448/config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='vit/clip-vit-H-14-laion2B-s32B-b79K-yi-vl-34B-448/merges.txt', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='vit/clip-vit-H-14-laion2B-s32B-b79K-yi-vl-34B-448/open_clip_config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='vit/clip-vit-H-14-laion2B-s32B-b79K-yi-vl-34B-448/open_clip_pytorch_model.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='vit/clip-vit-H-14-laion2B-s32B-b79K-yi-vl-34B-448/preprocessor_config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='vit/clip-vit-H-14-laion2B-s32B-b79K-yi-vl-34B-448/pytorch_model.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='vit/clip-vit-H-14-laion2B-s32B-b79K-yi-vl-34B-448/special_tokens_map.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='vit/clip-vit-H-14-laion2B-s32B-b79K-yi-vl-34B-448/tokenizer.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='vit/clip-vit-H-14-laion2B-s32B-b79K-yi-vl-34B-448/tokenizer_config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='vit/clip-vit-H-14-laion2B-s32B-b79K-yi-vl-34B-448/vocab.json', size=None, blob_id=None, lfs=None)]",,,2024-03-11 08:40:06+00:00,,,6588f668d1331d552bf9d138,01-ai/Yi-VL-34B,76639567342
Lin-Chen/ShareGPT4V-7B,Lin-Chen,c2cf644a63a6172639374e988daea915988e507c,2024-03-27 14:42:18+00:00,2023-11-20 13:55:13+00:00,False,False,,5905,73,transformers,"['transformers', 'pytorch', 'share4v', 'text-generation', 'image-text-to-text', 'arxiv:2311.12793', 'autotrain_compatible', 'has_space', 'region:us']",image-text-to-text,,,,,,,"[RepoSibling(rfilename='.gitattributes', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='README.md', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='generation_config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='pytorch_model-00001-of-00002.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='pytorch_model-00002-of-00002.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='pytorch_model.bin.index.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='special_tokens_map.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='tokenizer.model', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='tokenizer_config.json', size=None, blob_id=None, lfs=None)]",,,2024-03-27 14:42:18+00:00,,,655b65412790287702919f5a,Lin-Chen/ShareGPT4V-7B,13519440114
q-future/co-instruct,q-future,765f4a6a77a584a86fedc9e61a254c23a2b7d441,2024-03-07 02:06:02+00:00,2024-01-10 15:11:10+00:00,False,False,,390,15,transformers,"['transformers', 'pytorch', 'safetensors', 'mplug_owl2', 'feature-extraction', 'image-text-to-text', 'custom_code', 'dataset:q-future/Q-Instruct-DB', 'dataset:q-future/Co-Instruct-DB', 'arxiv:2402.16641', 'has_space', 'region:us']",image-text-to-text,,,,,,,"[RepoSibling(rfilename='.gitattributes', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='.ipynb_checkpoints/config-checkpoint.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='README.md', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='configuration_mplug_owl2.py', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='latest', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='model-00001-of-00004.safetensors', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='model-00002-of-00004.safetensors', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='model-00003-of-00004.safetensors', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='model-00004-of-00004.safetensors', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='model.safetensors.index.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='modeling_attn_mask_utils.py', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='modeling_llama2.py', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='modeling_mplug_owl2.py', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='preprocessor_config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='pytorch_model-00001-of-00004.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='pytorch_model-00002-of-00004.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='pytorch_model-00003-of-00004.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='pytorch_model-00004-of-00004.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='pytorch_model.bin.index.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='rng_state_0.pth', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='rng_state_1.pth', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='rng_state_2.pth', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='rng_state_3.pth', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='scheduler.pt', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='special_tokens_map.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='tokenizer.model', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='tokenizer_config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='trainer_state.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='training_args.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='visual_encoder.py', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='zero_to_fp32.py', size=None, blob_id=None, lfs=None)]",,,2024-03-07 02:06:02+00:00,,,659eb38ee614c0f9c8885c41,q-future/co-instruct,32820062992
alpindale/llava-1.5-7b,alpindale,fcd5a7e66f682a1486c85a933b37db05b6f73be9,2024-03-06 20:13:18+00:00,2023-12-22 13:03:31+00:00,False,False,,7,2,transformers,"['transformers', 'pytorch', 'llava', 'text-generation', 'image-text-to-text', 'autotrain_compatible', 'region:us']",image-text-to-text,,,,,,,"[RepoSibling(rfilename='.gitattributes', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='README.md', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='generation_config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='mm_projector.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='preprocessor_config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='pytorch_model-00001-of-00002.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='pytorch_model-00002-of-00002.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='pytorch_model.bin.index.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='special_tokens_map.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='tokenizer.model', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='tokenizer_config.json', size=None, blob_id=None, lfs=None)]",,,2024-03-06 20:13:18+00:00,,,6585892392eba5ad69e6202a,alpindale/llava-1.5-7b,13561401714
dandelin/vilt-b32-finetuned-vqa,dandelin,d0a1f6ab88522427a7ae76ceb6e1e1e7b68a1d08,2022-08-02 13:03:04+00:00,2022-03-02 23:29:05+00:00,False,False,,60887,364,transformers,"['transformers', 'pytorch', 'vilt', 'visual-question-answering', 'arxiv:2102.03334', 'license:apache-2.0', 'endpoints_compatible', 'has_space', 'region:us']",visual-question-answering,,,,,,,"[RepoSibling(rfilename='.gitattributes', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='README.md', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='preprocessor_config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='pytorch_model.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='special_tokens_map.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='tokenizer.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='tokenizer_config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='vocab.txt', size=None, blob_id=None, lfs=None)]",,,2022-08-02 13:03:04+00:00,,,621ffdc136468d709f17a32e,dandelin/vilt-b32-finetuned-vqa,471269742
Salesforce/blip2-opt-2.7b,Salesforce,51572668da0eb669e01a189dc22abe6088589a24,2024-03-22 11:58:17+00:00,2023-02-06 16:21:49+00:00,False,False,,171267,263,transformers,"['transformers', 'pytorch', 'safetensors', 'blip-2', 'visual-question-answering', 'vision', 'image-to-text', 'image-captioning', 'en', 'arxiv:2301.12597', 'license:mit', 'endpoints_compatible', 'has_space', 'region:us']",image-to-text,,,,,,,"[RepoSibling(rfilename='.gitattributes', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='README.md', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='merges.txt', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='model-00001-of-00002.safetensors', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='model-00002-of-00002.safetensors', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='model.safetensors.index.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='preprocessor_config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='pytorch_model-00001-of-00002.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='pytorch_model-00002-of-00002.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='pytorch_model.bin.index.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='special_tokens_map.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='tokenizer.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='tokenizer_config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='vocab.json', size=None, blob_id=None, lfs=None)]",,,2024-03-22 11:58:17+00:00,,,63e1291d28f32df66563f006,Salesforce/blip2-opt-2.7b,30991250044
google/deplot,google,6e76d62430da16986be3426bae32301fb9115397,2023-09-06 19:53:17+00:00,2023-04-03 11:05:38+00:00,False,False,,53416,196,transformers,"['transformers', 'pytorch', 'safetensors', 'pix2struct', 'text2text-generation', 'visual-question-answering', 'en', 'fr', 'ro', 'de', 'multilingual', 'arxiv:2212.10505', 'license:apache-2.0', 'autotrain_compatible', 'has_space', 'region:us']",visual-question-answering,,,,,,,"[RepoSibling(rfilename='.gitattributes', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='README.md', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='model.safetensors', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='preprocessor_config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='pytorch_model.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='special_tokens_map.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='spiece.model', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='tokenizer.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='tokenizer_config.json', size=None, blob_id=None, lfs=None)]",,,2023-09-06 19:53:17+00:00,,,642ab302fe4a12faa4270d0e,google/deplot,2262542560
Salesforce/blip-vqa-base,Salesforce,c7df8e7cd7aa2ee9af18f56e2b29e59a92651b64,2023-12-07 09:14:04+00:00,2022-12-12 17:51:53+00:00,False,False,,222072,98,transformers,"['transformers', 'pytorch', 'tf', 'safetensors', 'blip', 'visual-question-answering', 'arxiv:2201.12086', 'license:bsd-3-clause', 'has_space', 'region:us']",visual-question-answering,,,,,,,"[RepoSibling(rfilename='.gitattributes', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='README.md', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='model.safetensors', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='preprocessor_config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='pytorch_model.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='special_tokens_map.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='tf_model.h5', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='tokenizer.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='tokenizer_config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='vocab.txt', size=None, blob_id=None, lfs=None)]",,,2023-12-07 09:14:04+00:00,,,63976a3965d1f3432248c26c,Salesforce/blip-vqa-base,4618423550
Salesforce/blip2-flan-t5-xxl,Salesforce,43206cbc865b9d5b3dd7d080e5d94b4143ca8e74,2024-03-29 08:03:31+00:00,2023-02-09 09:10:14+00:00,False,False,,10055,77,transformers,"['transformers', 'pytorch', 'safetensors', 'blip-2', 'visual-question-answering', 'vision', 'image-to-text', 'image-captioning', 'en', 'arxiv:2301.12597', 'arxiv:2210.11416', 'license:mit', 'has_space', 'region:us']",image-to-text,,,,,,,"[RepoSibling(rfilename='.gitattributes', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='README.md', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='model-00001-of-00006.safetensors', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='model-00002-of-00006.safetensors', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='model-00003-of-00006.safetensors', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='model-00004-of-00006.safetensors', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='model-00005-of-00006.safetensors', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='model-00006-of-00006.safetensors', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='model.safetensors.index.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='preprocessor_config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='pytorch_model-00001-of-00006.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='pytorch_model-00002-of-00006.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='pytorch_model-00003-of-00006.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='pytorch_model-00004-of-00006.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='pytorch_model-00005-of-00006.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='pytorch_model-00006-of-00006.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='pytorch_model.bin.index.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='special_tokens_map.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='spiece.model', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='tokenizer.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='tokenizer_config.json', size=None, blob_id=None, lfs=None)]",,,2024-03-29 08:03:31+00:00,,,63e4b876a26ec2301f07632d,Salesforce/blip2-flan-t5-xxl,98893660328
Salesforce/blip2-opt-6.7b,Salesforce,1d33d60155fd1323b97556e0f1dd5148a9749f5b,2024-03-27 21:54:54+00:00,2023-02-07 14:34:39+00:00,False,False,,15807,65,transformers,"['transformers', 'pytorch', 'safetensors', 'blip-2', 'visual-question-answering', 'vision', 'image-to-text', 'image-captioning', 'en', 'arxiv:2301.12597', 'license:mit', 'has_space', 'region:us']",image-to-text,,,,,,,"[RepoSibling(rfilename='.gitattributes', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='README.md', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='merges.txt', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='model-00001-of-00004.safetensors', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='model-00002-of-00004.safetensors', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='model-00003-of-00004.safetensors', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='model-00004-of-00004.safetensors', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='model.safetensors.index.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='preprocessor_config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='pytorch_model-00001-of-00004.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='pytorch_model-00002-of-00004.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='pytorch_model-00003-of-00004.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='pytorch_model-00004-of-00004.bin', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='pytorch_model.bin.index.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='special_tokens_map.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='tokenizer.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='tokenizer_config.json', size=None, blob_id=None, lfs=None), RepoSibling(rfilename='vocab.json', size=None, blob_id=None, lfs=None)]",,,2024-03-27 21:54:54+00:00,,,63e2617f8d8cda7a87e2c005,Salesforce/blip2-opt-6.7b,63673459086
